cve_id,cvss,access_vector,access_complexity,impact_confidentiality,impact_integrity,impact_availability,cwe_name
CVE-2019-11177,7.8,,,,,, Improper Handling of Exceptional Conditions
CVE-2019-11171,7.5,,,,,, Improper Restriction of Operations within the Bounds of a Memory Buffer
CVE-2019-11170,7.2,,,,,, Improper Authentication
CVE-2019-8248,10.0,,,,,, Improper Restriction of Operations within the Bounds of a Memory Buffer
CVE-2019-8247,10.0,,,,,, Improper Restriction of Operations within the Bounds of a Memory Buffer
CVE-2019-8246,10.0,,,,,, Out-of-bounds Write
CVE-2013-4655,7.8,NETWORK,LOW,COMPLETE,NONE,NONE, Improper Link Resolution Before File Access ('Link Following')
CVE-2019-5029,10.0,,,,,, Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')
CVE-2019-18952,7.5,,,,,, Unrestricted Upload of File with Dangerous Type
CVE-2019-18240,7.5,,,,,, Out-of-bounds Write
CVE-2013-3366,9.3,,,,,, Cross-Site Request Forgery (CSRF)
CVE-2011-1070,7.2,,,,,, Incorrect Authorization
CVE-2013-3367,10.0,,,,,, Improper Authentication
CVE-2019-9467,7.2,,,,,, Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')
CVE-2019-9466,7.5,,,,,, Improper Input Validation
CVE-2019-2210,7.2,,,,,, Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')
CVE-2010-4654,9.3,,,,,, Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')
CVE-2010-4533,7.5,,,,,, Improper Certificate Validation
CVE-2019-2233,7.2,,,,,, Improper Privilege Management
CVE-2019-2208,7.8,,,,,, Information Exposure
CVE-2019-2207,7.2,,,,,, Out-of-bounds Write
CVE-2019-2206,9.3,,,,,, Out-of-bounds Write
CVE-2019-2205,10.0,,,,,, Use After Free
CVE-2019-2204,10.0,,,,,, Out-of-bounds Read
CVE-2019-2203,7.2,,,,,, Out-of-bounds Write
CVE-2019-2202,7.2,,,,,, Out-of-bounds Write
CVE-2019-2201,9.3,,,,,, Out-of-bounds Write
